"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1205,"Prarostino",NA,359981.535928786,365474.430681162,4967999.58468733,4971598.55709177,7.22771250559337,7.29696522970739,44.8520527051112,44.8846922658189
1,201,1,1139,"Luserna San Giovanni",NA,357535.027980257,364460.16063165,4958073.15811359,4966677.09453136,7.19986375318536,7.28599585172718,44.7618632478379,44.8401985191752
1,201,1,1163,"Moriondo Torinese",NA,414231.496101805,417936.217850867,4985355.96695759,4989851.93435823,7.91132226627135,7.95802142417196,45.0165367681346,45.0572162770743
1,201,1,1164,"Nichelino",NA,388003.352795642,394626.832606417,4979815.50263858,4985126.46407048,7.57988560734247,7.66295730125992,44.9629797407293,45.0111821829737
1,201,1,1118,"Groscavallo",NA,353548.345932437,368284.485175524,5020330.68853759,5030590.11349548,7.13077430710003,7.31718720950374,45.3223901147969,45.4161030312633
1,201,1,1206,"Prascorsano",NA,386827.691837277,393490.548086354,5022495.68306276,5026348.15346598,7.55463093320341,7.6396099826638,45.3476044609771,45.3824948166732
1,201,1,1207,"Pratiglione",NA,384927.768343406,391802.311234354,5021681.68853762,5026563.65060163,7.5304383084958,7.6188397009326,45.3401338371657,45.383285118989
1,201,1,1132,"Lessolo",NA,406157.450361737,409834.391794642,5035242.59153269,5039394.56133628,7.79949525695456,7.84626795097787,45.4644997845619,45.5019526035082
1,201,1,1133,"Levone",NA,387947.402388591,392314.339401105,5017929.21554225,5021095.1923998,7.57008881385266,7.62629958746797,45.3065073935853,45.3346224627912
1,201,1,1142,"Macello",NA,371585.449427917,377623.089568356,4965652.60538524,4969058.07920182,7.3750139539068,7.45118486084277,44.8336013290511,44.8638870219236
1,201,1,1165,"Noasca",NA,361069.920525574,371998.579294445,5029934.62043076,5041813.53114294,7.22266036033119,7.36295653424112,45.4104872297575,45.5172228084039
1,201,1,1166,"Nole",NA,385199.489643212,389118.957701662,5007296.29481414,5015735.73069524,7.53776462516796,7.58624150429404,45.2099878558076,45.2861240668173
1,201,1,1167,"Nomaglio",NA,409981.265640158,412157.155095892,5042752.03664999,5044858.52022953,7.84697731806787,7.87463097538675,45.5326355312934,45.551647824829
1,201,1,1183,"Pecetto Torinese",NA,399364.04949342,403520.578137969,4982450.98623165,4988689.02491743,7.72244921257162,7.77563446309846,44.9888550911075,45.0447100567764
1,201,1,1184,"Perosa Argentina",NA,353108.896871904,360629.682950059,4979238.99734178,4985363.94924804,7.13731517440936,7.23194309658739,44.952369843684,45.0072466152285
1,201,1,1208,"Quagliuzzo",NA,403940.563175197,405256.114895935,5029501.1332958,5031966.86507781,7.77200431573078,7.78880495048355,45.4125089322207,45.4347806555964
1,201,1,1209,"Quassolo",NA,406799.850368027,409720.860868141,5040723.55035435,5043111.53309089,7.8064098556369,7.84412451947065,45.5141852586208,45.5354801333036
1,201,1,1210,"Quincinetto",NA,400801.738395918,408407.212719086,5043062.03246485,5048390.06130914,7.72920417846484,7.82645734272468,45.5345311150296,45.5827159754553
1,201,1,1211,"Reano",NA,374200.764924677,378520.951571919,4988612.43240213,4991407.41038918,7.40216804406658,7.45705692074426,45.0403048315319,45.065068765865
1,201,1,1134,"Locana",NA,369011.528244109,383516.119957852,5023845.16815214,5042679.5251362,7.32295318959592,7.51156275823667,45.3578015414959,45.5258677868523
1,201,1,1178,"Pancalieri",NA,385067.504065038,390952.394998812,4962354.63498009,4968633.58810997,7.54623809249597,7.62021446311906,44.8057374747945,44.8627064435537
1,201,1,1179,"Parella",NA,404955.180074749,407162.383622548,5029435.13324942,5032290.32690517,7.78507407244594,7.81346435512717,45.4121174482731,45.4377113506655
1,201,1,1185,"Perosa Canavese",NA,407772.503233311,410033.642103368,5026923.15356514,5030392.62848913,7.82157901449739,7.8503119292404,45.3898410263849,45.4212230546823
1,201,1,1186,"Perrero",NA,348161.183469545,356884.056963281,4969087.07001465,4982192.96971235,7.07473170939254,7.18644546442243,44.8594601445178,44.9769575269941
1,201,1,1212,"Ribordone",NA,376293.327002091,385304.044583699,5029695.12694865,5040645.04221041,7.41677445941061,7.5336909485064,45.4110086131256,45.5084538416139
1,201,1,1152,"Mezzenile",NA,365794.257160979,376473.678126234,5012836.74838091,5018441.70562459,7.28915434533475,7.42504981492889,45.25740771938,45.3079034387191
1,201,1,1153,"Mombello di Torino",NA,413876.903104537,415757.983437926,4985395.96600722,4990219.93005788,7.90616167913074,7.93035198311471,45.0168160811834,45.0602433111693
1,201,1,1180,"Pavarolo",NA,406659.364454887,409080.533387059,4990155.9293683,4993961.39973526,7.81398656110007,7.84523732119462,45.0590249401258,45.0931053333221
1,201,1,1181,"Pavone Canavese",NA,407659.535940492,412675.466322313,5029452.63426189,5033433.60548822,7.81974516845075,7.8837812805535,45.4128025426091,45.4487244165705
1,201,1,1182,"Pecco",NA,398624.162977349,405940.54663283,5033199.60521061,5038258.0669538,7.70274844478222,7.79701014842451,45.4457107653219,45.4905311156451
1,201,1,1213,"Rivalba",NA,410223.055282349,415291.110987451,4995335.39171896,4999759.35779592,7.85850801279343,7.92314030246598,45.1061003581075,45.1458660195409
1,201,1,1154,"Mompantero",NA,344564.983411363,353238.230100267,5000282.33375528,5007336.78100007,7.02238900445178,7.13179170490111,45.1396187703573,45.2033311148227
1,201,1,1155,"Monastero di Lanzo",NA,375464.027665927,379217.313679619,5016156.72601008,5025332.40660638,7.41053959349457,7.45972256997449,45.2883944432768,45.3707107845354
1,201,1,1097,"Cumiana",NA,365135.554619643,379598.541445699,4975824.52821956,4985166.95661779,7.28945718944872,7.47371231843862,44.9250611175018,45.0082462862921
1,201,1,1191,"Pinerolo",NA,364189.189992859,375397.573856269,4966923.09547719,4981681.98137776,7.2796195244463,7.42167326487252,44.8441508353091,44.9758439459836
1,201,1,1187,"Pertusio",NA,392058.638644551,394455.635109417,5021520.18930986,5024503.6665272,7.62173122736233,7.65256177575463,45.3391070441325,45.3657849419341
1,201,1,1188,"Pessinetto",NA,374429.442683549,378898.160245853,5014739.23591119,5017617.71434332,7.39860949106334,7.45595647395416,45.2756341817029,45.3010207448389
1,201,1,1119,"Grosso",NA,386366.822675414,388123.873120491,5011469.76410144,5015522.23326596,7.5511922951067,7.57394427800216,45.2476525156215,45.2841321075633
1,201,1,1120,"Grugliasco",NA,386229.89299215,391761.714910272,4987636.80113781,4991839.91143819,7.55472309874147,7.62530474081642,45.0337465141063,45.0711661057243
1,201,1,1160,"Montalto Dora",NA,409201.584522623,413089.773783652,5036639.58212144,5039867.55890357,7.83788676624138,7.88751660012612,45.4775069195719,45.506816699475
1,201,1,1161,"Montanaro",NA,406544.109825087,412532.722285593,5006408.80650825,5012631.76002074,7.80918926197432,7.8855761921666,45.2052221925484,45.2615614442716
1,201,1,1162,"Monteu da Po",NA,421363.908798802,424298.948978772,4999103.36591682,5003638.33080989,7.99966120573974,8.0367603487036,45.1411441431565,45.1819891518538
1,201,1,1098,"Cuorgn̬",NA,388928.548882202,396291.214180907,5025921.15675931,5031468.11528129,7.58095130401411,7.67522550531309,45.3786011887847,45.4285504198795
1,201,1,1189,"Pianezza",NA,383151.133576056,390454.390078895,4993742.39710284,4999122.75560953,7.51433427062335,7.60718628962969,45.088119109825,45.1362414851267
1,201,1,1190,"Pinasca",NA,358088.108963468,365530.05189446,4976360.51942998,4984918.45493199,7.20085810419431,7.29457420420642,44.9270479808752,45.0041748098984
1,201,1,1121,"Ingria",NA,385971.03754448,392325.17767891,5034111.59520542,5041191.04347892,7.54150800422317,7.62189878004273,45.4515510665656,45.5158549099019
1,201,1,1122,"Inverso Pinasca",NA,357546.395272578,360883.557918577,4975214.02854516,4979482.49458423,7.19454170283299,7.23724523176006,44.9164694850911,44.954608403971
1,201,1,1123,"Isolabella",NA,412650.979427693,415233.991600699,4971513.57222772,4974316.05055671,7.8936485801543,7.92631026304107,44.8918871075226,44.9171239271805
1,201,1,1099,"Druento",NA,384757.931699238,390443.17125505,4996573.87544913,5004968.81157523,7.53366166241062,7.60703744879119,45.1138219097558,45.1890879765303
1,201,1,1100,"Exilles",NA,330730.558182733,340261.01864408,4991723.39440621,5001165.82312321,6.84800795791925,6.9707512993315,45.0603018496929,45.1448227723806
1,201,1,1192,"Pino Torinese",NA,400789.111975061,406337.555527953,4984957.96722062,4991710.91581589,7.74024281146573,7.81078578031264,45.0115084809009,45.0724114578711
1,201,1,1195,"Piscina",NA,372908.497845379,378623.330955167,4973543.04673158,4976888.02057221,7.38966374323327,7.46199528673518,44.904472057418,44.935023248119
